3323, K1RRO, shower, Ocatilla Wing/pool, 472, N
3324, K1RRO, shower, garden/fountain, 472, N
3325, Q2RRO, shower, pool/Ocatilla pool bar, 472, N
3326, Q2RRO, shower, garden/fountain, 472, N
3327, Q2RRO, shower, Ocatilla Wing/pool, 472, N
3328, K1RRO, shower, garden, 472, N
3329, K1RRO, shower, pool/Ocatilla pool bar, 472, N
3330, Q2RRO, shower, garden, 472, N
3331, Q2RRO, shower, pool/Ocatilla Wing, 472, 3333
3332, K1RRO, shower, roof/ trees, 472, N
3333, K1RRO, shower, pool/Ocatilla Wing, 472, 3331 AND 3335
3335, K1RRO, shower, road/playground/obs. Mountain, 448, 3333
3402, K1SRO, shower, garden/Camelback mountain, 392, N
3403, K1SRO, shower, garden/trees/obs.Piestewa mtn, 540, N
3404, K1SRO, shower, garden/Camelback mountain, 392, N
3406, K1SRO, shower, garden/Camelback mountain, 392, N
3408, K1SRO, shower, garden/Camelback mountain, 392, N
3409, K1SRO, shower, pool/Ocatilla Wing, 392, 3411
3410, K1SRO, shower, garden/Camelback mountain, 392, N
3411, K1SRO, shower, pool/Ocatilla Wing/obs.Piestewa mtn, 392, 3409
3412, K1SRO, shower, garden/Camelback mountain, 392, N
3413, K1SRO, shower, pool/Ocatilla Wing/obs.Piestewa mtn, 392, N
3414, K1SRO, shower, garden/Camelback mountain, 392, N
3417, K1SRO, shower, pool/Ocatilla Wing/obs.Piestewa mtn, 392, N
3419, K1SRO, shower, pool/Ocatilla Wing/obs.Piestewa mtn, 392, N
3420, K1SRO, shower, garden/Camelback mountain, 784, N
3421, K1SRO, shower, pool/Ocatilla Wing/obs.Piestewa mtn, 392, N
3422, K1SRO, shower, garden/Camelback mountain, 392, N
3423, K1SRO, shower, pool/Ocatilla Wing/obs.Piestewa mtn, 392, N
3424, K1SRO, shower, garden/Camelback mountain, 392, N
3425, K1SRO, shower, pool/Ocatilla Wing/tree/obs.Piestewa mtn, 392, N
3426, K1SRO, shower, garden/Camelback mountain, 379.75, N
3427, K1SRO, shower, pool/Ocatilla Wing/tree/obs.Piestewa mtn, 392, N
3428, K1SRO, shower, garden/Camelback mountain, 379.75, N
3429, K1SRO, shower, pool/Ocatilla Wing/tree/obs.Piestewa mtn, 392, N
3430, K1SRO, shower, tennis/garden/Camelback mountain, 392, N
3432, K1SRO, shower, tennis/garden/Camelback mtn to the left, 379.75, N
3433, K1SRO, shower, pool/Ocatilla Wing, 379.75, N
3435, K1SRO, shower, pool/Ocatilla Wing, 456, N
4100, K1J, tub & shower, tree/fountain/garden, 962, 4101
4101, Q2SRO, tub & shower, cottages/wall/trees, 592, 4100
4102, K1SRO, tub & shower, cottages/wall/trees, 592, 4103
4103, Q2SRO, tub & shower, cottages/wall/trees, 592, 4101
4104, Q2SRO, tub & shower, cottages/cottage court/trees, 592, N
4105, K1SRO, tub & shower cottages/cottage court/trees, 592, N
4106, K1SRO, tub & shower, cottages/cottage court/trees, 592, 4107
4107, Q2SRO, tub & shower, cottage wall/trees, 592, 4106
4108, Q2SRO, tub & shower, cottage wall/trees, 592, 4109
4109, K1SRO, tub & shower, cottage wall/trees/culvert, 560, 4108
4110, Q2RRO, tub & shower, trees/culvert/road, 464, N
4111, K1RRO, tub & shower, trees/culvert/road, 576, N
